timestamp,occupied,button_pressed,tamper_detected,battery_voltage,temperature_celsius,humidity_percent,time_since_last_event_min,event_count,estado
2025-06-14T07:06:44Z,False,False,True,2.5,22,57,0,1890,real
2025-06-14T20:09:51Z,False,False,False,2.4,23,57,26,2426,real
2025-06-14T20:38:04Z,False,False,True,2.5,23,56,0,2431,real
2025-06-14T20:42:17Z,False,False,True,2.4,23,56,0,2449,real
2025-06-14T21:09:51Z,False,False,False,2.4,23,55,16,2496,real
2025-06-14T22:09:51Z,False,False,False,2.5,24,54,76,2496,real
2025-06-14T22:11:03Z,False,False,True,2.4,24,54,0,2497,real
2025-06-14T23:09:51Z,False,False,False,2.4,25,51,13,2512,real
2025-06-15T13:07:49Z,False,False,True,2.4,25,52,0,2899,real
2025-06-15T13:09:51Z,False,False,False,2.4,23,50,1,2904,real
2025-06-15T13:11:44Z,False,False,True,2.4,22,53,0,2906,real
2025-06-15T13:52:29Z,False,False,True,2.4,23,58,0,2911,real
2025-06-15T13:52:42Z,False,False,True,2.4,23,57,0,2912,real
2025-06-15T14:09:51Z,False,False,False,2.4,23,54,17,2912,real
2025-06-15T15:09:51Z,False,False,False,2.4,22,56,77,2912,real
2025-06-15T16:09:51Z,False,False,False,2.4,22,57,137,2912,real
2025-06-15T16:21:42Z,False,False,True,2.4,22,57,0,2913,real
2025-06-15T16:31:18Z,False,False,True,2.4,23,64,0,2916,real
2025-06-15T16:31:28Z,False,False,True,2.4,23,65,0,2917,real
2025-06-15T17:09:51Z,False,False,False,2.4,23,57,38,2918,real
2025-06-15T17:33:16Z,False,False,True,2.5,22,57,0,2919,real
2025-06-15T17:33:36Z,False,False,True,2.4,23,58,0,2921,real
2025-06-15T18:06:37Z,False,False,True,2.4,19,60,0,2923,real
2025-06-15T18:06:45Z,False,False,True,2.4,19,61,0,2924,real
2025-06-15T18:09:51Z,False,False,False,2.4,20,64,0,2931,real
2025-06-15T18:23:19Z,False,False,True,2.5,23,60,0,2956,real
2025-06-15T18:23:31Z,False,False,True,2.4,23,59,0,2958,real
2025-06-15T18:31:40Z,False,False,True,2.4,23,57,0,2959,real
2025-06-15T18:37:50Z,False,False,True,2.4,22,59,0,2974,real
2025-06-15T18:38:07Z,False,False,True,2.4,23,59,0,2977,real
2025-06-15T19:09:51Z,False,False,False,2.4,19,60,32,2977,real
2025-06-15T19:55:24Z,False,False,True,2.4,18,61,1,2978,real
2025-06-15T19:55:31Z,False,False,True,2.4,18,62,0,2979,real
2025-06-15T20:09:51Z,False,False,False,2.4,21,61,2,3017,real
2025-06-15T20:28:07Z,False,False,True,2.4,22,59,0,3080,real
2025-06-15T20:33:58Z,False,False,True,2.4,26,55,0,3118,real
2025-06-15T20:34:04Z,False,False,True,2.4,26,55,0,3119,real
2025-06-15T20:34:13Z,False,False,True,2.4,26,55,0,3120,real
2025-06-15T21:09:51Z,False,False,False,2.4,23,54,27,3128,real
2025-06-15T22:09:52Z,False,False,False,2.4,22,54,87,3128,real
2025-06-15T22:16:27Z,False,False,True,2.4,22,56,0,3130,real
2025-06-15T22:17:04Z,False,False,True,2.4,23,58,0,3132,real
2025-06-15T22:54:50Z,False,False,True,2.4,23,61,0,3134,real
2025-06-15T23:09:52Z,False,False,False,2.4,23,61,15,3134,real
2025-06-15T23:24:33Z,False,False,True,2.4,23,60,0,3135,real
2025-06-15T23:30:37Z,False,False,True,2.4,23,60,0,3136,real
2025-06-15T23:38:28Z,False,False,True,2.4,24,60,0,3144,real
2025-06-16T00:09:52Z,False,False,False,2.4,25,57,31,3145,real
2025-06-16T01:09:52Z,False,False,False,2.4,25,57,91,3145,real
2025-06-17T17:44:28Z,False,False,True,2.4,27,47,0,3146,real
2025-06-17T18:09:52Z,False,False,False,2.4,27,47,17,3149,real
2025-06-17T18:27:23Z,False,False,True,2.4,27,49,0,3150,real
2025-06-17T18:27:38Z,False,False,True,2.4,27,50,0,3151,real
2025-06-17T18:40:12Z,False,False,True,2.4,26,51,0,3157,real
2025-06-17T18:40:19Z,False,False,True,2.4,26,52,0,3158,real
2025-06-17T18:40:30Z,False,False,True,2.4,26,53,0,3159,real
2025-06-17T18:46:36Z,False,False,True,2.4,26,53,0,3162,real
2025-06-17T18:57:16Z,False,False,True,2.4,26,54,0,3218,real
2025-06-17T19:09:52Z,False,False,False,2.4,26,56,12,3220,real
2025-06-17T19:12:53Z,False,False,True,2.4,26,56,0,3221,real
